,SMILES,IC50_nM
155,CC1(C)c2cc(N3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,27.0
156,CC1(C)c2cc(C3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,1.5
157,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1-c1ccc(NCCN)cc1,415.3
158,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1-c1cccc(NCCN)c1,604.5
159,Cc1cc(-c2ccc(NCCN)cc2)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,149.3
160,Cc1cc(-c2cccc(NCCN)c2)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,89.1
161,Cc1cc(-c2ccc(N)cc2)c(/C=C2\C(=O)Nc3ccc(N)cc32)[nH]1,68.3
162,Cc1cc(-c2cccc(N)c2)c(/C=C2\C(=O)Nc3ccc(N)cc32)[nH]1,50.8
163,Cc1cc(-c2ccc(N)cc2)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,367.6
164,Cc1cc(-c2cccc(N)c2)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,61.8
165,CC1CN(Cc2c(-c3cccs3)[nH]c3ncccc23)CC(C)O1,9290.0
166,O=[N+]([O-])c1ccc2ncnc(Nc3ccc(O)cc3)c2c1,8660.0
167,Oc1ccccc1-c1nc(Nc2ccc(Cl)cc2)c2ccccc2n1,6460.0
168,Oc1ccc(Nc2nc(-c3ccccc3O)nc3ccccc23)cc1,4240.0
169,Cc1ccc(NC2=NC(=O)/C(=C3\C(=O)Nc4ccccc43)S2)cc1,3750.0
170,CCOC(=O)c1ccc(Nc2nc(Nc3ccc(Cl)cc3)c3nccnc3n2)cc1,3470.0
171,Oc1ccc(Nc2ncnc3ccc(Br)cc23)cc1,2850.0
172,COc1cc(-c2nc3cc(C)ccn3c2/N=C/c2cc(Cl)ccc2O)ccc1O,2400.0
173,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,2400.0
174,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,1810.0
175,O=C1Nc2ccccc2/C1=C/c1c[nH]nc1-c1ccccc1,1730.0
176,CCc1nc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,1380.0
177,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)O,910.0
178,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,850.0
179,COc1c(OCCN2CCCCC2)cc(F)c2c(-c3ccc(O)c(Cl)c3)nc3[nH]nc(C)c3c12,99.0
180,COc1cc2c(-c3ccc(O)cc3)nc3[nH]nc(C)c3c2cc1OC,99.0
181,Cc1ccc(C(=O)NCCO)cc1-n1cnc(OCc2ccc(F)cc2F)c(Cl)c1=O,10000.0
182,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(N[C@@H]2CCCC[C@@H]2NS(C)(=O)=O)n1,330.0
183,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(N[C@@H]2CCCC[C@@H]2NS(C)(=O)=O)n1,
184,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(N[C@@H]2CCCC[C@H]2NS(C)(=O)=O)n1,10.0
185,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(N[C@@H]2CCCC[C@H]2NS(C)(=O)=O)n1,65.0
186,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(N[C@H]2CCCC[C@@H]2NS(C)(=O)=O)n1,10000.0
187,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(N[C@H]2CCCC[C@@H]2NS(C)(=O)=O)n1,
188,CCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(C)(=O)=O)n3)cc2CC1,9.0
189,CCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(C)(=O)=O)n3)cc2CC1,60.0
190,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(C)(=O)=O)n3)cc2CC1,9.0
191,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(C)(=O)=O)n3)cc2CC1,73.0
192,CCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NC(=O)C(F)(F)F)n3)cc2CC1,26.0
193,CCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NC(=O)C(F)(F)F)n3)cc2CC1,200.0
194,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NC(=O)C(F)(F)F)n3)cc2CC1,22.0
195,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NC(=O)C(F)(F)F)n3)cc2CC1,100.0
196,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4N)n3)cc2CC1,680.0
197,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4N)n3)cc2CC1,
198,CCS(=O)(=O)N[C@@H]1CCCC[C@H]1Nc1nc(Nc2ccc3c(c2)CCN(CCOC)CC3)ncc1Cl,50.0
199,CCS(=O)(=O)N[C@@H]1CCCC[C@H]1Nc1nc(Nc2ccc3c(c2)CCN(CCOC)CC3)ncc1Cl,
200,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)C(C)C)n3)cc2CC1,130.0
201,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)C(C)C)n3)cc2CC1,
202,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)CC(F)(F)F)n3)cc2CC1,31.0
203,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)CC(F)(F)F)n3)cc2CC1,300.0
204,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)C4CC4)n3)cc2CC1,110.0
205,COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)C4CC4)n3)cc2CC1,
206,CCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NC(=O)N(C)C)n3)cc2CC1,370.0
